City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,jalalaqsi,3.3766,45.5996,26.5,71,92,8.91,SO,1686459098
139,lata,40.1629,-8.3327,13.93,96,6,0.7,PT,1686459098
140,kapa'a,22.0752,-159.319,26.99,86,75,6.17,US,1686459099
141,yeppoon,-23.1333,150.7333,23.88,69,86,3.87,AU,1686459099
142,chachersk,52.9164,30.9179,12.95,58,100,6.83,BY,1686459099
143,bel ombre,-4.6167,55.4167,27.91,78,40,6.69,SC,1686459100
144,port saint john's,-31.6229,29.5448,13.34,61,0,3.21,ZA,1686459100
145,magadan,59.5667,150.8,18.63,75,58,4.09,RU,1686459100
146,saldanha,-33.0117,17.9442,11.03,90,0,5.31,ZA,1686459100
147,sechura,-5.5569,-80.8222,23.58,76,83,6.38,PE,1686459101
148,sale,34.0389,-6.8166,18.19,100,40,0.0,MA,1686459101
149,sandpoint,48.2766,-116.5533,16.51,86,0,0.45,US,1686459057
150,hermanus,-34.4187,19.2345,12.81,78,4,3.54,ZA,1686459102
151,skovorodino,53.9833,123.9167,27.49,33,78,2.37,RU,1686459102
152,st. john's,47.5649,-52.7093,7.76,97,100,3.6,CA,1686458908
153,greymouth,-42.4667,171.2,8.99,80,100,1.87,NZ,1686458855
154,cold lake,54.4502,-110.2017,19.97,56,40,4.12,CA,1686459102
155,lampazos de naranjo,27.0167,-100.5167,30.93,53,1,4.03,MX,1686459103
156,tucuma,-0.1833,-50.05,23.79,94,13,2.11,BR,1686459103
157,selfoss,63.9331,-20.9971,5.58,78,44,3.66,IS,1686459103
158,rio segundo,-31.6526,-63.9099,10.81,32,6,4.62,AR,1686459103
159,jinghong,21.991,100.7341,30.82,62,83,1.11,CN,1686459104
160,guaratinga,-16.5667,-39.5667,19.3,98,8,0.96,BR,1686459104
161,castelo branco,39.8222,-7.4909,13.45,90,3,0.55,PT,1686459104
162,anuppur,23.1,81.6833,38.71,20,59,5.91,IN,1686459104
163,kuta,-8.7233,115.1723,28.97,74,20,4.63,ID,1686458903
164,badiyah,22.45,58.8,39.38,14,96,1.48,OM,1686459105
165,arraial do cabo,-22.9661,-42.0278,21.13,80,0,4.57,BR,1686459105
166,stanley,54.868,-1.6985,12.38,92,100,0.0,GB,1686459105
167,merritt,50.1123,-120.7942,13.18,86,68,2.01,CA,1686459106
168,port alfred,-33.5906,26.891,14.89,48,0,4.37,ZA,1686459106
169,wailua homesteads,22.0669,-159.378,26.24,86,75,6.17,US,1686459106
170,paramonga,-10.6667,-77.8333,20.57,82,86,3.9,PE,1686459106
171,katsuura,35.1333,140.3,24.59,82,100,2.41,JP,1686459107
172,valdivia,-39.8142,-73.2459,2.05,96,66,0.53,CL,1686458939
173,olonkinbyen,70.9221,-8.7187,0.87,95,80,8.83,SJ,1686459107
174,corner brook,48.9667,-57.9484,7.09,99,99,1.7,CA,1686459107
175,susuman,62.7833,148.1667,19.92,41,49,4.48,RU,1686459108
176,matoury,4.8483,-52.3317,22.98,100,0,0.0,GF,1686459108
